,,,,,,
,,,,,,
Bought Item's,,,,,,
,,,,,,
Item,Qty,Cost per Qty,Cost tot per part,Part,Description/Notes,Link
1,2,200 kr,400 kr,IKEA Samla ,Transparent plastic storage box used as both the water reservoir and grow bed structure in the ebb and flow hydroponic system. The lid is modified to hold net pots.,"https://www.ikea.com/se/sv/p/samla-lada-transparent-90102971/ , https://www.ikea.com/se/sv/p/samla-lada-med-lock-transparent-s39440814/"
2,1,299 kr,299 kr,450/h submersible water pump (New Micro),Low-power submersible water pump used to periodically flood the grow bed and circulate nutrient solution in the system.,https://www.hydrogarden.se/produkter/odlingssystemkrukor/bevattning-pumpar/cirkulationspumpar/newa-micro-jet-450
3,1,21 kr,21 kr,Silicone tubing,"Flexible silicone tubing used to transport water between the pump, grow bed, and reservoir.",https://www.hydrogarden.se/produkter/odlingssystemkrukor/hydrosystem/ebb-flod-system/iws-ebb-flod-system-tillbehor/iws-16mm-slang-13mm-innerdiameter
4,3,5 kr,15 kr,Breadboards,,
5,1,50 kr,50 kr,ESP8266 Development Board,"Microcontroller board used to control the pump timing, relay switching, and system logic. OBS, the link is only to show the model, not the price. The Dev board was bought at my schools local makerspace.",https://www.amazon.com/-/es/HiLetgo-ESP8266-desarrollo-funciona-Micropython/dp/B010O1G1ES
6,1,109 kr,109 kr,"1.3"" OLED I2C (SH1106/SSD1306, 128×64)","Small OLED display used to show system status, pump timing, and time remaining until the next flood cycle.",https://www.amazon.se/AZDelivery-I2C-sk%C3%A4rm-kompatibel-Raspberry-inklusive/dp/B078J78R45?th=1
7,20,3 kr,60 kr,Peat starter plugs,Peat-based growing medium used for seed germination and early plant growth before roots reach the nutrient solution.,https://www.hydrogarden.se/produkter/sticklingar/medium-for-sticklingar/quick-plug
8,1,19 kr,19 kr,Hydroponic net pots Ø80 mm,Plastic mesh pots used to hold plants in place while allowing roots to grow freely into the grow bed.,https://www.hydrogarden.se/produkter/odlingssystemkrukor/deep-water-culture-hydroponiskt/plantt-diy-oxypot-20l/natkorg-80-mm-robust-plast
9,1,149 kr,149 kr,ESP32 Cam module,camera intended to capture periodic images and create plant growth timelapse videos.,https://www.amazon.se/AZDelivery-ESP32-Cam-kamerautvecklingskort-kompatibel/dp/B089MDKBWG/ref=asc_df_B089MDKBWG?mcid=10251298c89d3ecfa3057c41f5c37abe&tag=shpngadsglede-21&linkCode=df0&hvadid=719639329392&hvpos=&hvnetw=g&hvrand=17052971000339790945&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1012443&hvtargid=pla-1676710335785&language=sv_SE&gad_source=1&th=1
10,1,10 kr,10 kr,"Jumper wires (Dupont, male-to-female)","Electrical jumper wires used to connect the ESP32 to the relay module, display, and other electronic components.",https://www.amazon.se/AZDelivery-Jumper-Wire-F2F-kompatibel/dp/B07KFMSW7H/ref=asc_df_B07KFMSW7H?mcid=29f10ef227be3e14a28dfa3b52011987&tag=shpngadsglede-21&linkCode=df0&hvadid=719815545086&hvpos=&hvnetw=g&hvrand=15575140755358349389&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1012443&hvtargid=pla-920663275589&psc=1&language=sv_SE&gad_source=1
11,4,19 kr,76 kr,25 mm extension,Sits underneath the filter. Makes the ideal water height adjustable,https://www.hydrogarden.se/produkter/odlingssystemkrukor/bevattning-pumpar/ebb-flod-kopplingar/25mm-forlangning-till-ebb-och-flod-koppling
,,SUM:,1208,,,
,,,,,,
Soon to be bought ,,,,,,
,,,,,,
Item,Qty,Cost per Qty,Total Item Cost,Part,Description/Notes,Link
1,20,16,315,Neoprene collars / foam inserts,Foam inserts placed in net pots to hold seedlings securely while allowing roots to grow into the nutrient solution.,https://www.hydrogarden.se/produkter/odlingssystemkrukor/krukor-natkorgar/natkorgar/neoprenringar-for-3-natkorgar
2,1,160,160,3.3 V logic compatible,Relay module used to safely switch the water pump on and off using control signals from the ESP32.,https://www.amazon.se/str%C3%B6msbrytarbr%C3%A4da-1-kanalsrel%C3%A4-n%C3%A4tstr%C3%B6mbrytarmodul-h%C3%B6gniv%C3%A5-utl%C3%B6sare-optoisolering-ESP8266-utvecklingstavla/dp/B0CW9SNVKM/ref=asc_df_B0CW9SNVKM?mcid=dcd5abca9e023db28eb4e4784e8561df&tag=shpngadsglede-21&linkCode=df0&hvadid=743720795957&hvpos=&hvnetw=g&hvrand=3634165121821384644&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9197457&hvtargid=pla-2315245456948&language=sv_SE&gad_source=1&th=1
3,19,19,361,Hydroponic net pots Ø80 mm,Plastic mesh pots used to hold plants in place while allowing roots to grow freely into the grow bed.,https://www.hydrogarden.se/produkter/odlingssystemkrukor/deep-water-culture-hydroponiskt/plantt-diy-oxypot-20l/natkorg-80-mm-robust-plast
